timestamp,first_cell_year,was_smartphone,birth_year,generation
"2022/02/09 12:57:39 PM EST","2014","No","1999","Gen Z"
"2022/02/09 12:58:50 PM EST","2012","Yes","2000","Gen Z"
"2022/02/09 12:59:15 PM EST","2003","No","1992","Millennial"
"2022/02/09 1:04:41 PM EST","2004","No","1987","Millennial"
"2022/02/09 1:06:13 PM EST","2010","Yes","1996","Millennial"
"2022/02/09 1:06:28 PM EST","2009","No","2001","On the cusp of both millennial and gen z, technically gen z i think"
"2022/02/09 1:10:16 PM EST","2012","No","2001","Gen Z"
"2022/02/09 1:12:38 PM EST","2011","Yes","1999","Gen Z"
"2022/02/09 1:13:05 PM EST","2013","Yes","1999","Gen Z"
"2022/02/09 1:15:12 PM EST","2006","No","1999","Gen Z"
"2022/02/09 1:15:15 PM EST","2007","No","1990","Millennial"
"2022/02/09 1:18:22 PM EST","2011","No","2000","Gen Z"
"2022/02/09 1:18:51 PM EST","2007","No","1999","Gen Z"
"2022/02/09 1:19:39 PM EST","2014","Yes","2002","Gen Z"
"2022/02/09 1:20:50 PM EST","2013","Yes","2000","Millennial"
"2022/02/09 1:22:26 PM EST","2010","No","1999","I don't know"
"2022/02/09 1:22:34 PM EST","2012","Yes","1998","Gen Z"
"2022/02/09 1:23:45 PM EST","2011","Yes","1998","Millennial"
"2022/02/09 1:24:24 PM EST","2012","No","2001","Gen Z"
"2022/02/09 1:25:42 PM EST","1999","No","1973","Gen X"
"2022/02/09 1:26:19 PM EST","2004","No","1989","Millennial"
"2022/02/09 1:30:31 PM EST","2010","No","2000","Gen Z"
"2022/02/09 1:33:20 PM EST","2006","No","1988","Millennial"
"2022/02/09 1:40:45 PM EST","2007","No","1991","Millennial"
"2022/02/09 1:47:03 PM EST","2007","No","1988","Millennial"
"2022/02/09 1:47:10 PM EST","2009","No","1998","Zillennial"
"2022/02/09 1:47:25 PM EST","2008","No","2001","Gen Z"
"2022/02/09 1:55:28 PM EST","2016","Yes","2003","Gen Z"
"2022/02/09 1:57:30 PM EST","2008","No","1994","Millennial"
"2022/02/09 2:02:01 PM EST","2019","Yes","2006","Gen Z"
"2022/02/09 2:06:06 PM EST","2006","No","1991","Millennial"
"2022/02/09 2:12:46 PM EST","2002","No","1985","Millennial"
"2022/02/09 2:13:04 PM EST","2018","Yes","2004","Gen Z"
"2022/02/09 2:20:17 PM EST","2012","No","1999","Gen Z"
"2022/02/09 2:21:31 PM EST","2013","Yes","2004","Gen Z"
"2022/02/09 2:21:51 PM EST","2004","No","1989","Millennial"
"2022/02/09 2:21:53 PM EST","2003","No","1987","Millennial"
"2022/02/09 2:37:30 PM EST","2016","Yes","2003","Gen Z"
